page_url;page_value;referrer_url;bouncerate;Month;weekday;OperatingSystem;Browser;Region;TrafficType;VisitorType;Revenue ist grösser Null
contact.htm;0;.com;0.18;February;Wednesday;1;1;1;1;Returning_Visitor;0
home.htm;0;.com;0;February;Tuesday;2;2;1;1;Returning_Visitor;0
home.htm;0;.com;0.18;February;Tuesday;4;1;9;1;Returning_Visitor;0
home.htm;0;.com;0.03;February;Saturday;3;2;2;1;Returning_Visitor;0
contact.htm;0;.com;0;February;Tuesday;3;3;1;1;Returning_Visitor;0
contact.htm;0;dcmwwdjvjmiom.com;0;February;Sunday;2;2;1;1;Returning_Visitor;0
about-us.htm;0;.com;0.18;February;Sunday;2;4;3;1;Returning_Visitor;0
contact.htm;0;.com;0.18;February;Tuesday;1;2;1;5;Returning_Visitor;0
overview.htm;0;.com;0;February;Saturday;2;2;2;1;Returning_Visitor;0
news.htm;0;.com;0;February;Sunday;2;4;1;1;Returning_Visitor;0
news.htm;0;.com;0;February;Friday;1;1;3;1;Returning_Visitor;0
home.htm;0;dcmwwdjvjmiom.com;0;March;Thursday;1;1;4;1;Returning_Visitor;0
about-us.htm;0;.com;0;February;Wednesday;1;1;1;1;Returning_Visitor;0
contact.htm;0;.com;0;February;Sunday;2;5;1;1;Returning_Visitor;0
overview.htm;0;.com;0;February;Wednesday;3;2;3;1;Returning_Visitor;0
overview.htm;0;.com;0;February;Friday;1;1;9;1;Returning_Visitor;0
news.htm;0;.com;0.18;February;Saturday;1;1;4;1;Returning_Visitor;0
home.htm;0;.com;0;March;Wednesday;1;1;1;1;Returning_Visitor;0
home.htm;0;.com;0;February;Monday;2;2;1;1;Returning_Visitor;0
home.htm;0;.com;0;February;Sunday;2;4;4;1;Returning_Visitor;0
contact.htm;0;.com;0;February;Monday;2;2;5;1;Returning_Visitor;0
about-us.htm;0;.com;0.18;February;Tuesday;3;3;1;1;Returning_Visitor;0
about-us.htm;0;.com;0;March;Thursday;3;2;1;5;Returning_Visitor;0
overview.htm;0;.com;0;February;Friday;2;4;1;1;Returning_Visitor;0
overview.htm;0;.com;0.18;February;Thursday;2;2;4;1;Returning_Visitor;0
about-us.htm;0;.com;0;February;Thursday;1;1;9;1;Returning_Visitor;0
home.htm;0;.com;0;February;Thursday;2;2;1;1;Returning_Visitor;0
home.htm;0;.com;0.03;March;Wednesday;1;1;1;1;Returning_Visitor;0
home.htm;0;.com;0;February;Saturday;2;6;1;1;Returning_Visitor;0
10664;51.99;.com;0.03;February;Sunday;3;2;1;1;Returning_Visitor;0
home.htm;0;.com;0;February;Friday;1;1;6;1;Returning_Visitor;0
about-us.htm;0;.com;0;February;Friday;1;2;6;5;Returning_Visitor;0
contact.htm;0;.com;0;February;Monday;2;2;1;1;Returning_Visitor;0
overview.htm;0;.com;0.03;February;Monday;1;1;3;1;Returning_Visitor;0
news.htm;0;.com;0;February;Tuesday;2;2;1;1;Returning_Visitor;0
home.htm;0;dcmwwdjvjmiom.com;0;March;Thursday;2;2;7;1;Returning_Visitor;0
